product,total_reviews,negative_ratio,top_complaints,suggested_actions
"9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,
9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"Certified Refurbished electronics brand TV (Previous Generation - 1st),,,
Certified Refurbished electronics brand TV (Previous Generation - 1st),,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"Certified Refurbished electronics brand TV Stick (Previous Generation - 1st),,,_x000D_
Certified Refurbished electronics brand TV Stick (Previous Generation - 1st),,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"Certified Refurbished electronics brand TV Stick (Previous Generation - 1st),,,_x000D_
brand name Paperwhite,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"Coconut Water Red Tea 16.5 Oz (pack of 12),,,_x000D_
electronics brand TV,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"New retail brand brand name XYZ brand Hd 9w Powerfast Adapter Charger + Micro Usb Angle Cable,,,_x000D_
",1,0.0,,Gather more reviews for insights; monitor future feedback.
"Standing Protective Case for XYZ brand HD 6 (4th Generation) - Black,,,
Standing Protective Case for XYZ brand HD 6 (4th Generation) - Black,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"electonics brand Home_x000D_
XYZ brand Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Tangerine""",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,
retail brand - XYZ brand 16GB (5th Gen, 2015 Release) - Black,,,",1,1.0,"i, love, my, brand, name, voyage, however, it, does, not",Investigate product quality or description accuracy.
"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,
retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,",1,1.0,"can't, beat, a, tablet, for, that, actually, works",Investigate product quality or description accuracy.
"retail brand - brand name Voyage - 4GB - Wi-Fi + 3G - Black,,,_x000D_
XYZ brand HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers"",",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,
retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand Echo and XYZ brand TV Power Adapter,,,
retail brand Echo and XYZ brand TV Power Adapter,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,
retail brand Tap Portable Bluetooth and Wi-Fi Speaker - Black,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand XYZ brand 9W PowerFast Official OEM USB Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand XYZ brand Hd 6 Standing Protective Case(4th Generation - 2014 Release), Cayenne Red,,,_x000D_
retail brand 5W USB Official OEM Charger and Power Adapter for XYZ brand Tablets and brand name eReaders,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,
retail brand XYZ brand Hd 8 8in Tablet 16gb Black B018szt3bk 6th Gen (2016) Android,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand XYZ brand Tv,,,
retail brand XYZ brand Tv,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand XYZ brand Tv,,,_x000D_
brand name Dx Leather Cover, Black (fits 9.7 Display, Latest and 2nd Generation brand name Dxs)"",,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand brand name Lighted Leather Cover,,,
retail brand brand name Lighted Leather Cover,,,",1,1.0,"the, and, cover, to, a, i, brand, name, is, this",Investigate product quality or description accuracy.
"retail brand brand name Lighted Leather Cover,,,_x000D_
brand name Keyboard,,,",1,0.0,,Gather more reviews for insights; monitor future feedback.
"retail brand brand name Lighted Leather Cover,,,_x000D_
retail brand brand name Lighted Leather Cover,,,",1,1.0,"the, i, is, a, case, to, as, on, it, of",Investigate product quality or description accuracy.
